0 0  0 -85.4038
0 4176.46  0 -51.23
0 4190.25  0 -51.9249
0 4204.03  0 -52.6652
0 4217.81  0 -53.4903
0 4231.6  0 -54.1699
0 4245.38  0 -54.8207
0 4259.17  0 -55.4307
0 4272.95  0 -56.0116
0 4286.73  0 -56.5657
0 4300.52  0 -57.1047
0 4314.3  0 -57.8398
0 4328.08  0 -58.3944
0 4341.87  0 -58.9341
0 4355.65  0 -59.4372
0 4369.44  0 -59.9183
0 4383.22  0 -60.3784
0 4397  0 -60.8206
0 4410.79  0 -61.0649
0 4424.57  0 -61.3716
0 4438.35  0 -61.6984
0 4452.14  0 -62.1714
0 4465.92  0 -63.3386
0 4479.7  0 -63.9333
0 4493.49  0 -64.5298
0 4507.27  0 -64.9233
0 4521.06  0 -65.2608
0 4534.84  0 -65.6441
0 4548.62  0 -66.0132
0 4562.41  0 -66.5878
0 4576.19  0 -67.0269
0 4589.97  0 -67.4423
0 4603.76  0 -67.8953
0 4617.54  0 -68.4591
0 4631.33  0 -68.8888
0 4645.11  0 -69.3023
0 4658.89  0 -69.3838
0 4672.68  0 -69.4897
0 4686.46  0 -69.6934
0 4700.24  0 -69.9166
0 4714.03  0 -70.6098
0 4727.81  0 -70.9847
0 4741.6  0 -71.3648
0 4755.38  0 -71.6135
0 4769.16  0 -71.7664
0 4782.95  0 -72.0016
0 4796.73  0 -72.2326
0 4810.51  0 -76.7978
0 4824.3  0 -79.3202
0 4838.08  0 -80.9261
0 4851.87  0 -81.4563
0 4865.65  0 -77.9206
0 4879.43  0 -76.4293
0 4893.22  0 -75.5406
0 4907  0 -73.4898
0 4920.78  0 -71.1586
0 4934.57  0 -69.87
0 4948.35  0 -68.8334
0 4962.13  0 -68.5582
0 4975.92  0 -68.1021
0 4989.7  0 -67.6842
0 5003.49  0 -67.0256
0 5017.27  0 -65.8023
0 5031.05  0 -65.1406
0 5044.84  0 -64.5513
0 5058.62  0 -64.0577
0 5072.4  0 -63.6205
0 5086.19  0 -63.2312
0 5099.97  0 -62.8803
0 5113.76  0 -61.519
0 5127.54  0 -60.8799
0 5141.32  0 -60.3024
0 5155.11  0 -60.3018
0 5168.89  0 -60.8471
0 5182.67  0 -60.8548
0 5196.46  0 -60.8648
0 5210.24  0 -58.3695
0 5224.03  0 -56.6256
0 5237.81  0 -55.5631
0 5251.59  0 -54.9235
0 5265.38  0 -55.8105
0 5279.16  0 -55.7112
0 5292.94  0 -55.6813
0 5306.73  0 -54.7589
0 5320.51  0 -53.5642
0 5334.29  0 -52.9682
0 5348.08  0 -52.4802
0 5361.86  0 -53.0003
0 5375.65  0 -53.0693
0 5389.43  0 -53.0756
0 5403.21  0 -52.5479
0 5417  0 -50.812
0 5430.78  0 -50.1446
0 5444.56  0 -49.6125
0 5458.35  0 -51.9609
0 5472.13  0 -54.1199
0 5485.92  0 -55.0013
0 5499.7  0 -55.737
0 5513.48  0 -58.0812
0 5527.27  0 -58.9931
0 5541.05  0 -59.8908
0 5554.83  0 -59.4586
0 5568.62  0 -57.7576
0 5582.4  0 -57.2863
0 5596.19  0 -56.8969
0 5609.97  0 -58.4272
0 5623.75  0 -59.424
0 5637.54  0 -60.0145
0 5651.32  0 -60.5618
0 5665.1  0 -61.6062
0 5678.89  0 -62.1536
0 5692.67  0 -62.6752
0 5706.45  0 -63.884
0 5720.24  0 -65.3937
0 5734.02  0 -66.2481
0 5747.81  0 -67.0417
0 5761.59  0 -68.5363
0 5775.37  0 -69.5401
0 5789.16  0 -70.4059
0 5802.94  0 -71.5282
0 5816.72  0 -73.6746
0 5830.51  0 -74.7939
0 5844.29  0 -75.8573
0 5858.08  0 -76.6141
0 5871.86  0 -77.2805
0 5885.64  0 -77.9314
0 5899.43  0 -78.533
0 5913.21  0 -80.7445
0 5926.99  0 -81.6964
0 5940.78  0 -82.5476
0 5954.56  0 -82.6376
0 5968.35  0 -81.9163
0 5982.13  0 -81.9218
0 5995.91  0 -81.9644
0 6009.7  0 -81.7364
0 6023.48  0 -81.61
0 6037.26  0 -81.6146
0 6051.05  0 -81.736
0 6064.83  0 -82.7101
0 6078.61  0 -83.0968
0 6092.4  0 -83.5021
0 6106.18  0 -85.3687
0 6119.97  0 -88.0036
0 6133.75  0 -89.0784
0 6147.53  0 -90.3713
0 6161.32  0 -88.3728
0 6175.1  0 -88.4852
0 6188.88  0 -88.5554
0 6202.67  0 -89.5308
0 6216.45  0 -94.8124
0 6230.24  0 -96.1413
0 6244.02  0 -98.6384
0 6257.8  0 -101.717
0 6271.59  0 -97.7277
0 6285.37  0 -94.9831
0 6299.15  0 -93.2426
0 6312.94  0 -93.9975
0 6326.72  0 -102.027
0 6340.51  0 -101.954
0 6354.29  0 -100.274
0 6368.07  0 -95.7986
0 6381.86  0 -94.6771
0 6395.64  0 -93.4699
0 6409.42  0 -91.5065
0 6423.21  0 -90.3085
0 6436.99  0 -89.5404
0 6450.78  0 -88.685
0 6464.56  0 -84.8
0 6478.34  0 -82.7498
0 6492.13  0 -81.215
0 6505.91  0 -82.2226
0 6519.69  0 -85.0422
0 6533.48  0 -85.4715
0 6547.26  0 -85.9558
0 6561.04  0 -83.6103
0 6574.83  0 -82.1565
0 6588.61  0 -81.2226
0 6602.4  0 -80.049
0 6616.18  0 -77.3537
0 6629.96  0 -76.0475
0 6643.75  0 -75.0165
0 6657.53  0 -76.6786
0 6671.31  0 -78.7543
0 6685.1  0 -79.2889
0 6698.88  0 -79.7458
0 6712.67  0 -79.3852
0 6726.45  0 -79.3243
0 6740.23  0 -79.2403
0 6754.02  0 -80.3522
0 6767.8  0 -83.6835
0 6781.58  0 -84.7327
0 6795.37  0 -85.8696
0 6809.15  0 -85.295
0 6822.94  0 -84.8825
0 6836.72  0 -84.8518
0 6850.5  0 -84.8683
0 6864.29  0 -84.9257
0 6878.07  0 -84.9964
0 6891.85  0 -85.075
0 6905.64  0 -85.1567
0 6919.42  0 -85.2398
0 6933.2  0 -85.3228
0 6946.99  0 -85.4053
0 6960.77  0 -84.2499
0 6974.56  0 -83.5588
0 6988.34  0 -83.1169
0 7002.12  0 -83.0144
0 7015.91  0 -84.1821
0 7029.69  0 -84.4376
0 7043.47  0 -84.7327
0 7057.26  0 -85.1791
0 7071.04  0 -85.6556
0 7084.83  0 -85.9595
0 7098.61  0 -86.2313
0 7112.39  0 -85.8447
0 7126.18  0 -85.7816
0 7139.96  0 -85.7513
0 7153.74  0 -85.8812
0 7167.53  0 -86.2777
0 7181.31  0 -86.4545
0 7195.1  0 -86.629
0 7208.88  0 -83.2804
0 7222.66  0 -80.2574
0 7236.45  0 -78.5411
0 7250.23  0 -77.2506
0 7264.01  0 -81.0496
0 7277.8  0 -81.3438
0 7291.58  0 -82.0498
0 7305.36  0 -83.32
0 7319.15  0 -85.3718
0 7332.93  0 -86.3192
0 7346.72  0 -87.217
0 7360.5  0 -89.2433
0 7374.28  0 -90.65
0 7388.07  0 -91.7254
0 7401.85  0 -92.3885
0 7415.63  0 -91.601
0 7429.42  0 -91.7111
0 7443.2  0 -91.8301
0 7456.99  0 -91.5836
0 7470.77  0 -91.205
0 7484.55  0 -91.1233
0 7498.34  0 -91.0892
0 7512.12  0 -91.8838
0 7525.9  0 -92.2838
0 7539.69  0 -92.6265
0 7553.47  0 -92.7016
0 7567.26  0 -92.2604
0 7581.04  0 -92.2085
0 7594.82  0 -92.177
0 7608.61  0 -92.9996
0 7622.39  0 -93.7706
0 7636.17  0 -94.2242
0 7649.96  0 -94.6152
0 7663.74  0 -88.0022
0 7677.53  0 -84.7354
0 7691.31  0 -82.5423
0 7705.09  0 -83.6409
0 7718.88  0 -88.5826
0 7732.66  0 -89.5272
0 7746.44  0 -90.8102
0 7760.23  0 -91.1201
0 7774.01  0 -91.5047
0 7787.79  0 -91.8966
0 7801.58  0 -92.2319
0 7815.36  0 -92.36
0 7829.15  0 -92.594
0 7842.93  0 -92.8106
0 7856.71  0 -92.9186
0 7870.5  0 -92.9759
0 7884.28  0 -93.0999
0 7898.06  0 -93.2261
0 7911.85  0 -92.8004
0 7925.63  0 -92.6385
0 0  1 -78.4613
0 13.7837  1 -78.4501
0 27.5674  1 -78.4599
0 41.3511  1 -78.5085
0 55.1348  1 -78.5354
0 68.9185  1 -78.4769
0 82.7022  1 -78.4419
0 96.486  1 -78.4498
0 110.27  1 -78.3589
0 124.053  1 -78.2413
0 137.837  1 -78.1622
0 151.621  1 -78.1023
0 165.404  1 -77.7185
0 179.188  1 -77.2458
0 192.972  1 -76.6028
0 206.756  1 -76.1569
0 220.539  1 -76.02
0 234.323  1 -75.8717
0 248.107  1 -75.7086
0 261.89  1 -75.5252
0 275.674  1 -75.31
0 289.458  1 -75.0397
0 303.242  1 -74.7364
0 317.025  1 -74.4954
0 330.809  1 -74.1318
0 344.593  1 -73.5194
0 358.376  1 -73.5084
0 372.16  1 -73.9997
0 385.944  1 -74.7473
0 399.728  1 -75.7815
0 413.511  1 -75.6854
0 427.295  1 -75.5586
0 441.079  1 -75.4237
0 454.862  1 -75.2785
0 468.646  1 -75.1183
0 482.43  1 -74.9307
0 496.213  1 -74.6973
0 509.997  1 -74.5615
0 523.781  1 -74.4713
0 537.565  1 -74.3974
0 551.348  1 -74.3321
0 565.132  1 -74.0995
0 578.916  1 -73.8165
0 592.699  1 -73.4442
0 606.483  1 -73.1512
0 620.267  1 -73.0009
0 634.051  1 -72.8142
0 647.834  1 -72.568
0 661.618  1 -72.4238
0 675.402  1 -72.2683
0 689.185  1 -72.0441
0 702.969  1 -71.807
0 716.753  1 -71.802
0 730.536  1 -71.7802
0 744.32  1 -71.7274
0 758.104  1 -71.7556
0 771.888  1 -71.8617
0 785.671  1 -72.0023
0 799.455  1 -72.1918
0 813.239  1 -72.2497
0 827.022  1 -72.319
0 840.806  1 -72.4212
0 854.59  1 -72.5013
0 868.374  1 -72.479
0 882.157  1 -72.4612
0 895.941  1 -72.451
0 909.725  1 -72.2972
0 923.508  1 -71.9829
0 937.292  1 -71.4088
0 951.076  1 -70.6026
0 964.86  1 -71.759
0 978.643  1 -73.4845
0 992.427  1 -75.893
0 1006.21  1 -77.1395
0 1019.99  1 -75.5239
0 1033.78  1 -73.5758
0 1047.56  1 -69.5517
0 1061.35  1 -69.765
0 1075.13  1 -70.9672
0 1088.91  1 -72.6589
0 1102.7  1 -74.3442
0 1116.48  1 -74.3974
0 1130.26  1 -74.4717
0 1144.05  1 -74.5822
0 1157.83  1 -74.623
0 1171.62  1 -74.5897
0 1185.4  1 -74.534
0 1199.18  1 -74.4396
0 1212.97  1 -74.4958
0 1226.75  1 -74.5805
0 1240.53  1 -74.7009
0 1254.32  1 -74.807
0 1268.1  1 -74.8107
0 1281.88  1 -74.8154
0 1295.67  1 -74.8211
0 1309.45  1 -74.828
0 1323.24  1 -74.8359
0 1337.02  1 -74.8451
0 1350.8  1 -74.8555
0 1364.59  1 -74.8671
0 1378.37  1 -74.8802
0 1392.15  1 -74.8946
0 1405.94  1 -74.9104
0 1419.72  1 -74.9279
0 1433.51  1 -74.9469
0 1447.29  1 -74.9675
0 1461.07  1 -74.99
0 1474.86  1 -75.0143
0 1488.64  1 -75.0405
0 1502.42  1 -75.0687
0 1516.21  1 -75.0991
0 1529.99  1 -75.1316
0 1543.78  1 -75.1666
0 1557.56  1 -75.204
0 1571.34  1 -75.244
0 1585.13  1 -75.2868
0 1598.91  1 -75.3325
0 1612.69  1 -75.3813
0 1626.48  1 -75.4334
0 1640.26  1 -75.4889
0 1654.04  1 -75.5481
0 1667.83  1 -75.6113
0 1681.61  1 -75.6786
0 1695.4  1 -75.7504
0 1709.18  1 -75.8269
0 1722.96  1 -75.9086
0 1736.75  1 -75.9958
0 1750.53  1 -76.0889
0 1764.31  1 -76.1884
0 1778.1  1 -76.2949
0 1791.88  1 -76.4089
0 1805.67  1 -76.5311
0 1819.45  1 -76.6624
0 1833.23  1 -76.8036
0 1847.02  1 -76.9557
0 1860.8  1 -77.1201
0 1874.58  1 -77.2982
0 1888.37  1 -77.4917
0 1902.15  1 -77.7027
0 1915.94  1 -77.9339
0 1929.72  1 -78.1886
0 1943.5  1 -78.471
0 1957.29  1 -78.787
0 1971.07  1 -79.1443
0 1984.85  1 -79.5545
0 1998.64  1 -80.0363
0 2012.42  1 -80.6191
0 2026.2  1 -81.3855
0 2039.99  1 -82.5039
0 2053.77  1 -83.4181
0 2067.56  1 -83.5903
0 2081.34  1 -83.9448
0 2095.12  1 -84.4074
0 2108.91  1 -84.5211
0 2122.69  1 -84.4669
0 2136.47  1 -84.7349
0 2150.26  1 -84.9207
0 2164.04  1 -84.1145
0 2177.83  1 -82.9312
0 2191.61  1 -81.1708
0 2205.39  1 -79.7286
0 2219.18  1 -79.4302
0 2232.96  1 -78.991
0 2246.74  1 -78.356
0 2260.53  1 -78.317
0 2274.31  1 -78.5037
0 2288.1  1 -78.7619
0 2301.88  1 -79.0771
0 2315.66  1 -79.3262
0 2329.45  1 -79.7638
0 2343.23  1 -80.4296
0 2357.01  1 -80.6283
0 2370.8  1 -80.2835
0 2384.58  1 -79.8449
0 2398.37  1 -79.3097
0 2412.15  1 -79.0122
0 2425.93  1 -78.7017
0 2439.72  1 -78.299
0 2453.5  1 -77.8976
0 2467.28  1 -77.7054
0 2481.07  1 -77.4465
0 2494.85  1 -77.0904
0 2508.63  1 -76.8694
0 2522.42  1 -76.707
0 2536.2  1 -76.2937
0 2549.99  1 -75.6125
0 2563.77  1 -76.6353
0 2577.55  1 -78.109
0 2591.34  1 -80.2236
0 2605.12  1 -81.2975
0 2618.9  1 -81.1972
0 2632.69  1 -81.2492
0 2646.47  1 -81.3274
0 2660.26  1 -80.9903
0 2674.04  1 -80.386
0 2687.82  1 -79.488
0 2701.61  1 -78.4456
0 2715.39  1 -78.1279
0 2729.17  1 -77.7188
0 2742.96  1 -77.1904
0 2756.74  1 -76.9633
0 2770.53  1 -77.1208
0 2784.31  1 -77.6979
0 2798.09  1 -78.3809
0 2811.88  1 -77.8129
0 2825.66  1 -76.8151
0 2839.44  1 -75.4259
0 2853.23  1 -73.9928
0 2867.01  1 -73.6651
0 2880.79  1 -73.2043
0 2894.58  1 -72.5217
0 2908.36  1 -72.5232
0 2922.15  1 -73.096
0 2935.93  1 -74.1062
0 2949.71  1 -75.4416
0 2963.5  1 -75.8409
0 2977.28  1 -76.7842
0 2991.06  1 -78.7315
0 3004.85  1 -79.1859
0 3018.63  1 -77.1639
0 3032.42  1 -74.3382
0 3046.2  1 -70.2038
0 3059.98  1 -68.2047
0 3073.77  1 -66.9309
0 3087.55  1 -65.3965
0 3101.33  1 -63.3949
0 3115.12  1 -62.4902
0 3128.9  1 -61.3711
0 3142.69  1 -59.8014
0 3156.47  1 -58.5598
0 3170.25  1 -57.9439
0 3184.04  1 -57.089
0 3197.82  1 -55.7437
0 3211.6  1 -55.388
0 3225.39  1 -55.0664
0 3239.17  1 -53.9825
0 3252.95  1 -55.3555
0 3266.74  1 -58.755
0 3280.52  1 -62.7737
0 3294.31  1 -66.5347
0 3308.09  1 -69.6161
0 3321.87  1 -69.4185
0 3335.66  1 -70.6522
0 3349.44  1 -71.6873
0 3363.22  1 -68.3244
0 3377.01  1 -63.1905
0 3390.79  1 -56.2459
0 3404.58  1 -48.735
0 3418.36  1 -48.8177
0 3432.14  1 -48.9014
0 3445.93  1 -48.9991
0 3459.71  1 -49.3618
0 3473.49  1 -49.9564
0 3487.28  1 -50.9124
0 3501.06  1 -52.0664
0 3514.85  1 -52.5319
0 3528.63  1 -53.2335
0 3542.41  1 -54.2632
0 3556.2  1 -55.087
0 3569.98  1 -55.4552
0 3583.76  1 -55.9392
0 3597.55  1 -56.6074
0 3611.33  1 -57.6958
0 3625.12  1 -59.2999
0 3638.9  1 -61.8666
0 3652.68  1 -62.0672
0 3666.47  1 -61.4268
0 3680.25  1 -60.7913
0 3694.03  1 -60.0358
0 3707.82  1 -59.3019
0 3721.6  1 -58.9563
0 3735.38  1 -57.9382
0 3749.17  1 -58.5711
0 3762.95  1 -57.7441
0 3776.74  1 -56.222
0 3790.52  1 -52.5835
0 3804.3  1 -47.2994
0 3818.09  1 -44.6426
0 3831.87  1 -41.3783
0 3845.65  1 -36.0112
0 3859.44  1 -32.7935
0 3873.22  1 -30.693
0 3887.01  1 -27.5408
0 3900.79  1 -25.1425
0 3914.57  1 -18.6052
0 3928.36  1 -19.5975
0 3942.14  1 -20.5151
0 3955.92  1 -15.2379
0 3969.71  1 -25.2858
0 3983.49  1 -18.1153
0 3997.28  1 -26.1719
0 4011.06  1 -27.3823
0 4024.84  1 -30.3827
0 4038.63  1 -32.2383
0 4052.41  1 -34.1435
0 4066.19  1 -35.976
0 4079.98  1 -37.5483
0 4093.76  1 -38.918
0 4107.54  1 -40.0655
0 4121.33  1 -41.0665
0 4135.11  1 -42.0204
0 4148.9  1 -42.921
0 4162.68  1 -43.6288
0 4176.46  1 -44.3265
0 4190.25  1 -45.0139
0 4204.03  1 -45.7225
0 4217.81  1 -46.4969
0 4231.6  1 -47.1966
0 4245.38  1 -47.845
0 4259.17  1 -48.456
0 4272.95  1 -49.0364
0 4286.73  1 -49.5898
0 4300.52  1 -50.1252
0 4314.3  1 -50.7855
0 4328.08  1 -51.3718
0 4341.87  1 -51.9106
0 4355.65  1 -52.4175
0 4369.44  1 -52.8998
0 4383.22  1 -53.361
0 4397  1 -53.8038
0 4410.79  1 -54.1103
0 4424.57  1 -54.4092
0 4438.35  1 -54.7293
0 4452.14  1 -55.1502
0 4465.92  1 -56.0688
0 4479.7  1 -56.7706
0 4493.49  1 -57.364
0 4507.27  1 -57.8115
0 4521.06  1 -58.1749
0 4534.84  1 -58.5477
0 4548.62  1 -58.9176
0 4562.41  1 -59.4192
0 4576.19  1 -59.8774
0 4589.97  1 -60.2944
0 4603.76  1 -60.7281
0 4617.54  1 -61.243
0 4631.33  1 -61.6943
0 4645.11  1 -62.1079
0 4658.89  1 -62.2951
0 4672.68  1 -62.4219
0 4686.46  1 -62.6074
0 4700.24  1 -62.8248
0 4714.03  1 -63.3589
0 4727.81  1 -63.7887
0 4741.6  1 -64.1647
0 4755.38  1 -64.4492
0 4769.16  1 -64.6406
0 4782.95  1 -64.8602
0 4796.73  1 -65.0912
0 4810.51  1 -68.4166
0 4824.3  1 -71.3728
0 4838.08  1 -73.6611
0 4851.87  1 -74.7609
0 4865.65  1 -71.8696
0 4879.43  1 -69.9619
0 4893.22  1 -68.9472
0 4907  1 -67.3808
0 4920.78  1 -65.4458
0 4934.57  1 -63.9583
0 4948.35  1 -62.8454
0 4962.13  1 -62.2598
0 4975.92  1 -61.7889
0 4989.7  1 -61.3285
0 5003.49  1 -60.7405
0 5017.27  1 -59.7545
0 5031.05  1 -58.9566
0 5044.84  1 -58.3335
0 5058.62  1 -57.7961
0 5072.4  1 -57.3256
0 5086.19  1 -56.906
0 5099.97  1 -56.5285
0 5113.76  1 -55.5464
